title  Photometry data for APASS_J085815.7-430955 from search centered on 134.5651678 -43.16525496 using the apass calibration catalog
Median of Right Ascension  134.56543, rms   0.00273
Median of Declination      -43.16530, rms   0.00141
Median of magcal_magdep        12.70, rms      0.31
Median of magcal_local_rms      0.16, rms      0.26
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
----	----	-------------	----------------	------------------	--	---	-----------	-----------	-----	---------	------	------	-------	------------	----------	----------	-----------
2411335.875080	1889.910617	12.93	 0.23	12.99	134.56531	-43.16537	 64.8	0.585	b04671	9	8192	1349386240	1520143	640	0.000700	13	17,18,19,21,22,28,30	7,9
2411490.578834	1890.334463	12.55	 0.12	13.28	134.56571	-43.16591	 21.5	0.190	b05011	10	0	1349451776	161388	640	0.000700		16,17,18,19,21,22,28,30	7,9
2411490.594415	1890.334505	12.62	 0.33	12.63	134.56637	-43.16544	-27.4	0.303	b05013	10	8192	1349386240	436074	640	0.000700	13	17,18,19,21,22,28,30	7,9
2412234.477169	1892.371522	 0.00	 0.00	12.55	  0.00000	  0.00000	  0.0	0.000	b07630	10	0	0	0	2048	-1.000000			11
2412260.507905	1892.442645	12.82	 0.24	13.74	134.56521	-43.16513	-30.1	0.274	b07848	10	128	1349451776	201985	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
2412582.563482	1893.323462	12.07	 0.61	12.60	134.56612	-43.16273	 24.7	0.262	b09182	10	276824192	1349124099	240877	641	0.000700	7,23,28	0,1,17,19,21,22,28,30	0,7,9
2412936.598140	1894.293420	12.72	 0.15	12.95	134.56492	-43.16541	 17.6	0.054	b10923	10	8320	1349388288	170256	513	0.000700	7,13	11,17,18,19,21,22,28,30	0,9
2412966.513388	1894.375379	12.67	 0.11	15.16	134.56544	-43.16555	-46.6	0.151	b11145	10	128	1349453824	288339	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
2413295.605043	1895.277000	12.75	 0.10	15.27	134.56516	-43.16528	-75.9	0.249	b13015	10	128	1349451776	358698	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
2413349.484091	1895.424614	 0.00	 0.00	13.22	  0.00000	  0.00000	  0.0	0.000	b13554	9	0	0	0	2048	-1.000000			11
2413349.501751	1895.424662	 0.00	 0.00	12.65	  0.00000	  0.00000	  0.0	0.000	b13556	9	0	0	0	2048	-1.000000			11
2413544.780981	1895.959674	 0.00	 0.00	12.40	  0.00000	  0.00000	  0.0	0.000	b15234	10	0	0	0	2048	-1.000000			11
2413644.649909	1896.232650	 0.00	 0.00	12.78	  0.00000	  0.00000	  0.0	0.000	b15466	9	0	0	0	2048	-1.000000			11
2413650.649286	1896.249042	12.73	 0.10	13.78	134.56553	-43.16545	-25.3	0.129	b15483	10	128	1349451776	550282	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
2413888.862525	1896.899898	 0.00	 0.00	12.40	  0.00000	  0.00000	  0.0	0.000	b18020	9	0	0	0	2048	-1.000000			11
2413889.869374	1896.902649	12.61	 0.09	15.70	134.56570	-43.16533	-24.3	0.033	b18052	10	128	1349453824	391890	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
2414041.530157	1897.317891	12.71	 0.09	15.10	134.56532	-43.16539	-79.1	0.288	b18955	10	128	1349453824	699463	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
2414077.523724	1897.416503	12.77	 0.06	14.42	134.56547	-43.16539	-68.8	0.175	a02368	8	0	1349451776	1317704	640	0.007500		16,17,18,19,21,22,28,30	7,9
